Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
1828.89725,2102.04725,1.165891538,3.623642313,11155.6,9568.3,2640.52,2075.672216
1828.89725,2102.04725,1.149021945,3.635290965,10910.4,9495.38,2612,2107.448384
1828.89725,2102.04725,1.142692935,3.62368687,10816,9465.36,2612.08,2119.690592
1828.89725,2102.04725,1.162047474,3.636940359,11391.9,9803.3,2695.48,2082.805311
1828.89725,2102.04725,1.145719784,3.640364951,11698.2,10210.35,2804.76,2113.813585
1828.89725,2102.04725,1.161512027,3.628311079,11677.9,10054.05,2771,2083.803888
1828.89725,2102.04725,1.136899826,3.540822349,10640.2,9358.96,2643.16,2131.053037
1828.89725,2102.04725,1.158505821,3.610865851,11067.6,9553.34,2645.72,2089.433108
1828.89725,2102.04725,1.156994403,3.634424634,10886.6,9409.38,2588.96,2092.277976
1828.89725,2102.04725,1.163690792,3.642374376,10962.2,9420.2,2586.28,2079.748256
