Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
2497.395577,2770.545577,0.999973127,3.480684688,11163.3,11163.6,3207.3,2791.41916
2497.395577,2770.545577,1.010778811,3.510006613,10193.3,10084.6,2873.1,2759.949786
2497.395577,2770.545577,1.011137123,3.553834372,10322.8,10209.1,2872.7,2758.918564
2497.395577,2770.545577,1.005124743,3.51076397,9080.9,9034.6,2573.4,2776.326245
2497.395577,2770.545577,1.005242242,3.524662407,11256.2,11197.5,3176.9,2775.983921
2497.395577,2770.545577,1.016799935,3.521445922,11203,11017.9,3128.8,2742.724389
2497.395577,2770.545577,1.010922058,3.54990458,11282.8,11160.9,3144,2759.537427
2565.166492,2838.316492,0.977540249,3.58571883,11020.3,11273.5,3294.3,2859.098938
2565.166492,2838.316492,0.984490897,3.42439306,10512,10677.6,3118.1,2837.783316
2565.166492,2838.316492,0.980003196,3.438757986,9811.4,10011.6,2911.4,2851.509773
2565.166492,2838.316492,0.992116792,3.441812407,8922.9,8993.8,2613.1,2814.755948
2565.166492,2838.316492,0.982688944,3.426332182,9945.5,10120.7,2953.8,2843.279206
2565.166492,2838.316492,0.982604144,3.413079608,8071.7,8214.6,2406.8,2843.538364
2565.166492,2838.316492,0.986796076,3.404731851,10380.7,10519.6,3089.7,2830.783185
2565.166492,2838.316492,0.98452727,3.427469544,10193.5,10353.7,3020.8,2837.672594
2565.166492,2838.316492,0.991977066,3.418637321,10138.7,10220.7,2989.7,2815.174524
2565.166492,2838.316492,0.96502266,3.378379276,9816.5,10172.3,3011,2898.289726
2629.484112,2902.634112,0.95652566,3.347106939,10607.2,11089.3,3313.1,2925.49312
2629.484112,2902.634112,0.955842469,3.34727017,10009.2,10471.6,3128.4,2927.701802
2629.484112,2902.634112,0.965186581,3.362040308,9370.9,9708.9,2887.8,2897.769743
2629.484112,2902.634112,0.962753976,3.388209641,8377.5,8701.6,2568.2,2905.50495
2629.484112,2902.634112,0.961999587,3.353099829,8850.3,9199.9,2743.7,2907.911899
2629.484112,2902.634112,0.96422861,3.337152548,7779.3,8067.9,2417.6,2900.811131
2629.484112,2902.634112,0.963130505,3.333152313,10049.4,10434.1,3130.4,2904.305045
2629.484112,2902.634112,0.971971931,3.359068083,9557.4,9833,2927.3,2876.403876
2629.484112,2902.634112,0.964725306,3.3330807,9758.1,10114.9,3034.7,2899.233435
2629.484112,2902.634112,0.965049009,3.354212749,9658.5,10008.3,2983.8,2898.206129
2684.630664,2957.780664,0.945540114,3.236096374,9804.4,10369.1,3204.2,2961.400357
2684.630664,2957.780664,0.940799506,3.236990677,9439.7,10033.7,3099.7,2977.156598
2684.630664,2957.780664,0.943228477,3.278683228,8614.6,9133.1,2785.6,2969.063632
2684.630664,2957.780664,0.946518079,3.312731719,7949.9,8399.1,2535.4,2958.16965
2684.630664,2957.780664,0.940910002,3.270913721,7976,8476.9,2591.6,2976.78753
2684.630664,2957.780664,0.939595819,3.305144987,7164.7,7625.3,2307.1,2981.18263
2684.630664,2957.780664,0.940188465,3.258299007,8849.9,9412.9,2888.9,2979.199089
2684.630664,2957.780664,0.945263315,3.293590193,8888.5,9403.2,2855,2962.315986
2684.630664,2957.780664,0.93891825,3.293296958,8953.9,9536.4,2895.7,2983.453471
2684.630664,2957.780664,0.922516328,3.241497457,8291.3,8987.7,2772.7,3039.434924
2760.73216,3033.88216,0.932361871,3.218435876,9642.3,10341.8,3213.3,3005.59686
2760.73216,3033.88216,0.929192033,3.208001517,9432.6,10151.4,3164.4,3016.413941
2760.73216,3033.88216,0.925094106,3.250709232,8798.2,9510.6,2925.7,3030.506735
2760.73216,3033.88216,0.928782362,3.200881276,8366.1,9007.6,2814.1,3017.817278
2760.73216,3033.88216,0.93380138,3.25221498,7780.9,8332.5,2562.1,3000.70858
2760.73216,3033.88216,0.936434771,3.262806327,7455.8,7961.9,2440.2,2991.804791
2760.73216,3033.88216,0.92298316,3.264999784,6966.4,7547.7,2311.7,3037.814404
2760.73216,3033.88216,0.94110635,3.290641306,8368.6,8892.3,2702.3,2976.131927
2760.73216,3033.88216,0.932222348,3.230062976,9084.6,9745.1,3017,3006.071451
2760.73216,3033.88216,0.907019648,3.217749416,7866.4,8672.8,2695.3,3094.152976
2810.10905,3083.25905,0.901819326,3.166530264,8025.2,8898.9,2810.3,3112.923276
2810.10905,3083.25905,0.915516769,3.177340647,7689.7,8399.3,2643.5,3063.92664
2810.10905,3083.25905,0.903814714,3.179717798,6965.7,7707,2423.8,3105.696448
2810.10905,3083.25905,0.926719517,3.171901566,6569.7,7089.2,2235,3024.902221
2810.10905,3083.25905,0.910374932,3.179114834,5839.6,6414.5,2017.7,3082.152052
2810.10905,3083.25905,0.923987506,3.195956715,7040.6,7619.8,2384.2,3034.333465
2810.10905,3083.25905,0.918667072,3.166162727,6349,6911.1,2182.8,3052.858441
2810.10905,3083.25905,0.910412234,3.166387514,7572.9,8318.1,2627,3082.019115
2810.10905,3083.25905,0.910103874,3.219635668,7351,8077.1,2508.7,3083.118372
2810.10905,3083.25905,0.919051278,3.206121852,7056.2,7677.7,2394.7,3051.51365
